sample ID	forward sequence count	reverse sequence count
YUN3428.2	4533	4533
BAQ4166.1.2	4115	4115
YUN3533.3	4050	4050
BAQ4166.3	3982	3982
BAQ3473.3	3883	3883
BAQ4166.2	3866	3866
YUN3856.3	3815	3815
YUN3533.2	3756	3756
BAQ3473.1	3545	3545
YUN3428.3	3513	3513
BAQ4697.3	3505	3505
YUN3428.1	3324	3324
YUN3259.3	3321	3321
BAQ4166.1.1	3311	3311
BAQ4166.1.3	3252	3252
YUN3856.1.1	3228	3228
YUN3259.2	3205	3205
BAQ3473.2	3071	3071
YUN3856.2	3041	3041
YUN3856.1.2	3040	3040
YUN3533.1.2	3037	3037
YUN3533.1.1	2996	2996
BAQ2462.1	2907	2907
YUN1005.1.1	2813	2813
YUN2029.2	2762	2762
BAQ2687.3	2746	2746
BAQ4697.1	2693	2693
BAQ2687.1	2641	2641
YUN3533.1.3	2479	2479
BAQ4697.2	2472	2472
YUN3346.3	2438	2438
YUN3856.1.3	2333	2333
YUN1242.3	2331	2331
YUN1609.1	2305	2305
BAQ2420.1.1	2231	2231
BAQ2687.2	2203	2203
BAQ2420.1.2	2183	2183
YUN3259.1.2	2125	2125
BAQ2420.2	2078	2078
YUN3346.1	2061	2061
BAQ2420.3	2056	2056
BAQ2420.1.3	2040	2040
BAQ2462.2	1979	1979
YUN1242.1	1873	1873
BAQ2838.1	1863	1863
BAQ2838.2	1779	1779
YUN3153.3	1772	1772
BAQ2462.3	1606	1606
YUN3153.2	1519	1519
YUN1005.3	1307	1307
BAQ2838.3	1233	1233
YUN3259.1.3	880	880
YUN3346.2	566	566
YUN3259.1.1	177	177
YUN1242.2	37	37
YUN2029.1	27	27
BAQ895.2	21	21
BAQ1552.1.1	20	20
BAQ1370.1.3	18	18
YUN3008.1.3	13	13
YUN3184.2	12	12
YUN3153.1	12	12
YUN1005.1.3	11	11
YUN3008.3	8	8
BAQ1552.2	7	7
YUN2029.3	6	6
YUN3008.1.1	6	6
YUN1609.3	5	5
BAQ1370.1.2	3	3
YUN3008.1.2	3	3
YUN3184.1	2	2
YUN1005.2	2	2
YUN3008.2	2	2
BAQ895.3	1	1
BAQ1370.3	0	0
